"collection1"
"Symbol.text","Symbol.href","Opinion"
"AMNB","http://www.barchart.com/quotes/stocks/AMNB","88% Buy"
"AMPE","http://www.barchart.com/quotes/stocks/AMPE","80% Sell"
"AMRC","http://www.barchart.com/quotes/stocks/AMRC","48% Buy"
"AMRE","http://www.barchart.com/quotes/stocks/AMRE","88% Buy"
"AMRI","http://www.barchart.com/quotes/stocks/AMRI","80% Sell"
"AMRS","http://www.barchart.com/quotes/stocks/AMRS","80% Sell"
"AMSF","http://www.barchart.com/quotes/stocks/AMSF","56% Buy"
"AMSG","http://www.barchart.com/quotes/stocks/AMSG","Hold"
"AMSWA","http://www.barchart.com/quotes/stocks/AMSWA","8% Sell"
"AMTG","http://www.barchart.com/quotes/stocks/AMTG","8% Sell"
"AMWD","http://www.barchart.com/quotes/stocks/AMWD","64% Buy"
"AMZG","http://www.barchart.com/quotes/stocks/AMZG","64% Sell"
"ANAC","http://www.barchart.com/quotes/stocks/ANAC","96% Buy"
"ANDE","http://www.barchart.com/quotes/stocks/ANDE","72% Sell"
"ANGI","http://www.barchart.com/quotes/stocks/ANGI","96% Sell"
"ANGO","http://www.barchart.com/quotes/stocks/ANGO","40% Buy"
"ANH","http://www.barchart.com/quotes/stocks/ANH","88% Buy"
"ANIK","http://www.barchart.com/quotes/stocks/ANIK","16% Sell"
"ANIP","http://www.barchart.com/quotes/stocks/ANIP","96% Buy"
"ANN","http://www.barchart.com/quotes/stocks/ANN","32% Sell"
"ANR","http://www.barchart.com/quotes/stocks/ANR","16% Buy"
"ANV","http://www.barchart.com/quotes/stocks/ANV","40% Sell"
"AOI","http://www.barchart.com/quotes/stocks/AOI","100% Sell"
"AOSL","http://www.barchart.com/quotes/stocks/AOSL","56% Sell"
"AP","http://www.barchart.com/quotes/stocks/AP","88% Sell"
"APAGF","http://www.barchart.com/quotes/stocks/APAGF","40% Buy"
"APEI","http://www.barchart.com/quotes/stocks/APEI","80% Buy"
"APOG","http://www.barchart.com/quotes/stocks/APOG","80% Buy"
"ARAY","http://www.barchart.com/quotes/stocks/ARAY","32% Sell"
"ARC","http://www.barchart.com/quotes/stocks/ARC","16% Buy"
